"АВТОВСКАЯ УЛ., д.21","421\229","419\211","0\-8"
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1","2078\437","2024\496","-3\14"
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1","1802\908","1924\1043","7\15"
"МОРСКОЙ ПЕХОТЫ УЛ., д.14","1236\641","1386\707","12\10"
"НАРОДНОГО ОПОЛЧЕНИЯ ПР., д.7","302\113","408\186","35\65"
"НОВАТОРОВ БУЛЬВАР, д.1","95\127","318\320","235\152"
"НОВАТОРОВ БУЛЬВАР, д.3","116\91","160\114","38\25"
"НОВООВСЯННИКОВСКАЯ УЛ., д.9","11\6","13\8","18\33"
"НОВООВСЯННИКОВСКАЯ УЛ., д.13","21\13","26\17","24\31"
"НОВООВСЯННИКОВСКАЯ УЛ., д.17А","396\194","18\33","-95\-83"
"НОВООВСЯННИКОВСКАЯ УЛ., д.19, корп.2","39\18","44\21","13\17"
"НОВОСТРОЕК УЛ., д.8","29\22","32\22","10\0"
"НОВОСТРОЕК УЛ., д.20","268\171","252\154","-6\-10"
"НОВОСТРОЕК УЛ., д.25","263\139","283\167","8\20"
"НОВОСТРОЕК УЛ., д.27","83\47","64\35","-23\-26"
"НОВОСТРОЕК УЛ., д.28","95\57","506\67","433\18"
"НОВОСТРОЕК УЛ., д.29","130\76","184\108","42\42"
"НОВОСТРОЕК УЛ., д.31","231\145","306\183","32\26"
"НОВОСТРОЕК УЛ., д.33","199\151","210\149","6\-1"
"НОВОСТРОЕК УЛ., д.35","298\185","230\81","-23\-56"
"ОБОРОННАЯ УЛ., д.3","178\153","171\118","-4\-23"
"ОБОРОННАЯ УЛ., д.4","867\489","819\426","-6\-13"
"ОБОРОННАЯ УЛ., д.5","315\277","384\296","22\7"
"ОБОРОННАЯ УЛ., д.6","4\2","4\2","0\0"
"ОБОРОННАЯ УЛ., д.7/20","95\77","14\8","-85\-90"
"ОБОРОННАЯ УЛ., д.14","72\31","102\64","42\106"
"ОБОРОННАЯ УЛ., д.17/13","110\71","72\51","-35\-28"
"ОБОРОННАЯ УЛ., д.19","115\91","118\112","3\23"
"ОБОРОННАЯ УЛ., д.20/18","79\36","92\54","16\50"
"ОБОРОННАЯ УЛ., д.23/17","68\36","41\21","-40\-42"
"ОБОРОННАЯ УЛ., д.27","61\25","68\35","11\40"
"ОГОРОДНЫЙ ПЕР., д.4, корп.3","323\235","393\281","22\20"
"ОГОРОДНЫЙ ПЕР., д.6, корп.1","596\299","351\182","-41\-39"
"ОГОРОДНЫЙ ПЕР., д.6, корп.2","446\278","579\331","30\19"
"ОГОРОДНЫЙ ПЕР., д.11","472\98","318\55","-33\-44"
"ПРОМЫШЛЕННАЯ УЛ., д.10","76\40","117\59","54\48"
"ПРОМЫШЛЕННАЯ УЛ., д.12","33\41","69\54","109\32"
"ПРОМЫШЛЕННАЯ УЛ., д.14","70\41","88\51","26\24"
"ПРОМЫШЛЕННАЯ УЛ., д.16","39\26","32\15","-18\-42"
"ПРОМЫШЛЕННАЯ УЛ., д.26","110\66","62\50","-44\-24"
"ПРОМЫШЛЕННАЯ УЛ., д.28","67\26","122\41","82\58"
"ПРОМЫШЛЕННАЯ УЛ., д.30","82\16","46\20","-44\25"
"ПРОМЫШЛЕННАЯ УЛ., д.34","59\32","37\22","-37\-31"
"ПРОМЫШЛЕННАЯ УЛ., д.36","83\53","97\64","17\21"
"ПРОМЫШЛЕННАЯ УЛ., д.38","23\37","23\12","0\-68"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6","95\49","75\37","-21\-24"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34","66\69","88\45","33\-35"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.43","92\19","25\12","-73\-37"
"СТАЧЕК ПР., д.1","485\65","500\94","3\45"
"СТАЧЕК ПР., д.2/2","83\35","106\53","28\51"
"СТАЧЕК ПР., д.4/1","225\131","192\120","-15\-8"
"СТАЧЕК ПР., д.6","341\124","543\295","59\138"
"СТАЧЕК ПР., д.8/2","40\35","58\36","45\3"
"СТАЧЕК ПР., д.8А","112\0","112\0","0\-"
"СТАЧЕК ПР., д.9","520\335","447\242","-14\-28"
"СТАЧЕК ПР., д.10","159\111","139\111","-13\0"
"СТАЧЕК ПР., д.11","167\171","234\200","40\17"
"СТАЧЕК ПР., д.13","245\64","206\135","-16\111"
"СТАЧЕК ПР., д.15","14\15","15\8","7\-47"
"СТАЧЕК ПР., д.17","639\261","622\285","-3\9"
"СТАЧЕК ПР., д.19","617\305","1000\458","62\50"
"СТАЧЕК ПР., д.21","2001\668","2322\782","16\17"
"СТАЧЕК ПР., д.22","91\102","185\147","103\44"
"СТАЧЕК ПР., д.22А","853\304","993\376","16\24"
"СТАЧЕК ПР., д.23","1029\489","1019\483","-1\-1"
"СТАЧЕК ПР., д.24","80\55","94\57","18\4"
"СТАЧЕК ПР., д.27","41\38","39\35","-5\-8"
"СТАЧЕК ПР., д.29","184\107","331\169","80\58"
"СТАЧЕК ПР., д.33/2","49\46","63\58","29\26"
"СТАЧЕК ПР., д.34, корп.1","370\136","875\312","136\129"
"СТАЧЕК ПР., д.34, корп.2","29\15","35\20","21\33"
"СТАЧЕК ПР., д.35","70\90","76\47","9\-48"
"СТАЧЕК ПР., д.38","28\11","51\34","82\209"
"СТАЧЕК ПР., д.41","487\911","546\369","12\-59"
"СТАЧЕК ПР., д.42","10\24","24\31","140\29"
"СТАЧЕК ПР., д.95, корп.1","2244\1316","2772\1528","24\16"
"СТАЧЕК ПР., д.101, корп.1А","1438\763","1603\825","11\8"
"СТАЧЕК ПР., д.101, корп.1Б","658\576","1072\809","63\40"
"СТАЧЕК ПР., д.101, корп.1В","2175\1370","1824\1486","-16\8"
"СТАЧЕК ПР., д.101, корп.1Г","904\731","1255\921","39\26"
"СТАЧЕК ПР., д.101, корп.1Д","1204\685","1464\827","22\21"
"СТАЧЕК ПР., д.102","158\14","67\10","-58\-29"
"СТАЧЕК ПР., д.103, корп.1","1466\1678","1734\1877","18\12"
"СТАЧЕК ПР., д.105, корп.2А","940\610","956\594","2\-3"
"СТАЧЕК ПР., д.105, корп.2Б","1625\1322","1936\1376","19\4"
"СТАЧЕК ПР., д.105, корп.2В","2717\1177","2671\1178","-2\0"
"СТАЧЕК ПР., д.105, корп.2Г","1124\1043","972\268","-14\-74"
"СТАЧЕК ПР., д.105, корп.2Д","2910\1965","3119\1924","7\-2"
"СТАЧЕК ПР., д.105, корп.2Е","1193\952","1336\1054","12\11"
"СТАЧЕК ПР., д.105, корп.2Ж","2980\1690","2908\1562","-2\-8"
"СТАЧЕК ПР., д.105, корп.2З","1135\813","1382\928","22\14"
"СТАЧЕК ПР., д.107, корп.1","1632\561","1667\548","2\-2"
"ТРАКТОРНАЯ УЛ., д.3","108\107","113\103","5\-4"
"ТРАКТОРНАЯ УЛ., д.4","76\42","66\36","-13\-14"
"ТРАКТОРНАЯ УЛ., д.4А","195\168","195\157","0\-7"
"ТРАКТОРНАЯ УЛ., д.5","184\114","164\80","-11\-30"
"ТРАКТОРНАЯ УЛ., д.6","51\67","58\54","14\-19"
"ТРАКТОРНАЯ УЛ., д.6, корп.2","48\40","54\35","13\-13"
"ТРАКТОРНАЯ УЛ., д.7","94\49","86\51","-9\4"
"ТРАКТОРНАЯ УЛ., д.8","90\86","138\100","53\16"
"ТРАКТОРНАЯ УЛ., д.9","205\146","324\197","58\35"
